Creation Time: 2021_8_27-9-2-25
9-2-25 | [INFO] TZToxicZoneCore - Started ! => Loading config...
9-2-25 | [INFO] [LOOTSYSTEM]:LootSpawner - Started !
9-2-25 | [INFO] TZToxicZoneServer - Started
9-3-6 | [INFO] [TZ STATIC TOXICZONE] - StartParticles
9-3-7 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
9-3-7 | [INFO] [LOOTSYSTEM]: TZCreature equal to 0!
9-3-7 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
9-3-7 | [INFO] [LOOTSYSTEM]: ToxicChestList equal to 0!
9-3-7 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
9-3-7 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-3-7 | [INFO] Cases count:9
9-3-7 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:8028.43 Y:339.823 Z:14642.8
9-3-7 | [INFO] FAL
9-3-7 | [INFO] Fal_FoldingBttstck
9-3-7 | [INFO] Fal_OeBttstck
9-3-7 | [INFO] Mag_FAL_20Rnd
9-3-7 | [INFO] AmmoBox_556x45_20Rnd
9-3-7 | [INFO] AmmoBox_762x39_20Rnd
9-3-7 | [INFO] AmmoBox_762x54_20Rnd
9-3-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
9-3-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
9-3-7 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
9-3-7 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-3-7 | [INFO] Cases count:16
9-3-7 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1705.13 Y:452.415 Z:14171.1
9-3-7 | [INFO] ToxicCure
9-3-7 | [INFO] AmmoBox_545x39_20Rnd
9-3-7 | [INFO] AmmoBox_556x45_20Rnd
9-3-7 | [INFO] AmmoBox_762x39_20Rnd
9-3-7 | [INFO] AmmoBox_762x54_20Rnd
9-3-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
9-3-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
9-48-7 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
9-48-7 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-48-7 | [INFO] Cases count:9
9-48-7 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:7903.3 Y:339.05 Z:14637.4
9-48-7 | [INFO] AK74
9-48-7 | [INFO] AK_RailHndgrd_Black
9-48-7 | [INFO] AK74_WoodBttstck
9-48-7 | [INFO] AK_Bayonet
9-48-7 | [INFO] AK_FoldingBttstck_Black
9-48-7 | [INFO] Mag_AK74_30Rnd
9-48-7 | [INFO] ToxicCure
9-48-7 | [INFO] AmmoBox_545x39_20Rnd
9-48-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
9-48-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZTisy- IsLootActive=true
9-48-7 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
9-48-7 | [INFO] Cases count:16
9-48-7 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army2- Position: X:1674.71 Y:445.625 Z:13883.6
9-48-7 | [INFO] AK74
9-48-7 | [INFO] AK_RailHndgrd_Black
9-48-7 | [INFO] AK74_WoodBttstck
9-48-7 | [INFO] AK_Bayonet
9-48-7 | [INFO] AK_FoldingBttstck_Black
9-48-7 | [INFO] AK_Suppressor
9-48-7 | [INFO] ToxicCure
9-48-7 | [INFO] AmmoBox_545x39_20Rnd
9-48-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_CanisLupus_Greycount: 7
9-48-7 | [INFO] [LOOTSYSTEM] Spawned: Animal_UrsusArctoscount: 1
10-33-7 | [INFO] [LOOTSYSTEM]: [CreatureCleaner] !
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: TZCreature has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: [ToxicChestCleaner] !
10-33-7 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: ToxicChestList has been deleted!
10-33-7 | [INFO] [LOOTSYSTEM]: ToxicZoneName:TZKamensk- IsLootActive=true
10-33-7 | [INFO] [LOOTSYSTEM]: NumberOfCratePerTime: 1
10-33-7 | [INFO] Cases count:9
10-33-7 | [INFO] [LOOTSYSTEM]: ToxicCase Spawned: CaseName: Army1- Position: X:8029.16 Y:339.823 Z:14642.8
10-33-7 | [INFO] AKM
10-33-7 | [INFO] PSO1Optic
10-33-7 | [INFO] AK_PlasticHndgrd
